"DUI Arrests by Month"
"Current date: 4/13/2021 4:31:25 PM (Mountain Daylight Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Offense for A and B Arrests: Driving Under the Influence"
"Arrest Date","Arrest Month","Jurisdiction by Geography","Number of Arrestees",
"Total","July","San Juan County","4"
"Total","July","San Miguel County","35"
"Total","July","Sedgwick County",""
"Total","July","Summit County","118"
"Total","July","Teller County","94"
"Total","July","Washington County","4"
"Total","July","Weld County","599"
"Total","July","Yuma County","7"
"Total","July","Broomfield County","87"
"Total","July","Colorado Bureau of Investigation",""
"Total","July","Colorado State Patrol","2,669"
"Total","August","Total","13,033"
"Total","August","Adams County","2,011"
"Total","August","Alamosa County","30"
"Total","August","Arapahoe County","403"
"Total","August","Archuleta County","15"
"Total","August","Baca County","5"
"Total","August","Bent County","10"
"Total","August","Boulder County","399"
"Total","August","Chaffee County","65"
"Total","August","Cheyenne County","2"
"Total","August","Clear Creek County","19"
"Total","August","Conejos County",""
"Total","August","Costilla County","2"
"Total","August","Crowley County","11"
"Total","August","Custer County","18"
"Total","August","Delta County","34"
"Total","August","Denver County","960"
"Total","August","Dolores County","2"
"Total","August","Douglas County","310"
"Total","August","Eagle County","173"
"Total","August","Elbert County","17"
"Total","August","El Paso County","1,300"
"Total","August","Fremont County","64"
"Total","August","Garfield County","222"
"Total","August","Gilpin County","53"
"Total","August","Grand County","47"
"Total","August","Gunnison County","97"
"Total","August","Hinsdale County","4"
"Total","August","Huerfano County","11"
"Total","August","Jackson County","4"
"Total","August","Jefferson County","877"
"Total","August","Kiowa County","1"
"Total","August","Kit Carson County","17"
"Total","August","Lake County","25"
"Total","August","La Plata County","134"
"Total","August","Larimer County","917"
"Total","August","Las Animas County","19"
"Total","August","Lincoln County","14"
"Total","August","Logan County","64"
"Total","August","Mesa County","305"
"Total","August","Mineral County","2"
"Total","August","Moffat County","28"
"Total","August","Montezuma County","61"
"Total","August","Montrose County","84"
"Total","August","Morgan County","32"
"Total","August","Otero County","16"
"Total","August","Ouray County","2"
"Total","August","Park County","38"
"Total","August","Phillips County","6"
"Total","August","Pitkin County","80"
"Total","August","Prowers County","25"
"Total","August","Pueblo County","162"
"Total","August","Rio Blanco County","25"
"Total","August","Rio Grande County","13"
"Total","August","Routt County","52"
"Total","August","Saguache County","3"
"Total","August","San Juan County","5"
"Total","August","San Miguel County","30"
"Total","August","Sedgwick County","2"
"Total","August","Summit County","110"
"Total","August","Teller County","95"
"Total","August","Washington County","5"
"Total","August","Weld County","605"
"Total","August","Yuma County","9"
"Total","August","Broomfield County","89"
"Total","August","Colorado Bureau of Investigation",""
"Total","August","Colorado State Patrol","2,793"
"Total","September","Total","12,412"
"Total","September","Adams County","1,952"
"Total","September","Alamosa County","31"
"Total","September","Arapahoe County","421"
"Total","September","Archuleta County","24"
"Total","September","Baca County","1"
"Total","September","Bent County","2"
"Total","September","Boulder County","382"
"Total","September","Chaffee County","60"
"Total","September","Cheyenne County","4"
"Total","September","Clear Creek County","27"
"Total","September","Conejos County",""
"Total","September","Costilla County","1"
"Total","September","Crowley County","8"
"Total","September","Custer County","10"
"Total","September","Delta County","38"
"Total","September","Denver County","927"
"Total","September","Dolores County","2"
"Total","September","Douglas County","321"
"Total","September","Eagle County","187"
"Total","September","Elbert County","24"
"Total","September","El Paso County","1,170"
"Total","September","Fremont County","62"
"Total","September","Garfield County","185"
"Total","September","Gilpin County","52"
"Total","September","Grand County","33"
"Total","September","Gunnison County","64"
"Total","September","Hinsdale County","2"
"Total","September","Huerfano County","6"
"Total","September","Jackson County","2"
"Total","September","Jefferson County","834"
"Total","September","Kiowa County","4"
"Total","September","Kit Carson County","24"
"Total","September","Lake County","21"
"Total","September","La Plata County","156"
"Total","September","Larimer County","819"
"Total","September","Las Animas County","13"
"Total","September","Lincoln County","14"
"Total","September","Logan County","53"
"Total","September","Mesa County","250"
"Total","September","Mineral County",""
"Total","September","Moffat County","31"
"Total","September","Montezuma County","60"
"Total","September","Montrose County","54"
"Total","September","Morgan County","31"
"Total","September","Otero County","21"
"Total","September","Ouray County","2"
"Total","September","Park County","29"
"Total","September","Phillips County","9"
"Total","September","Pitkin County","68"
"Total","September","Prowers County","21"
"Total","September","Pueblo County","132"
"Total","September","Rio Blanco County","24"
"Total","September","Rio Grande County","23"
"Total","September","Routt County","79"
"Total","September","Saguache County","2"
"Total","September","San Juan County","6"
"Total","September","San Miguel County","26"
"Total","September","Sedgwick County",""
"Total","September","Summit County","140"
"Total","September","Teller County","105"
